,player_id,name,fifa_index,name_compare,sofifa_id,which_fifa
166,127051,yann boe kane,9146,yann boe kane,215786,15
167,52328,gonzalo bergessio,2981,gonzalo ruben bergessio,171975,15
168,84846,gianluca sansone,2170,gianluca sansone,189894,15
169,136746,steve beleck,10491,steve leo beleck abeka,201044,15
170,144451,ali ozturk,13696,ali ozturk,143730,15
171,36689,emir bajrami,3022,emir bajrami,181377,15
172,254063,giannis stamatakis,14755,giannis stamatakis,219560,15
173,38870,gordon schildenfeld,1735,gordon schildenfeld,186902,15
174,332046,tayyib kanarya,14521,tayyib kanarya,224740,15
175,177038,omer can sokullu,8920,omer can sokullu,206105,15
176,54168,rizvan sahin,9501,rizvan sahin,182672,15
177,6860,orhan ak,10182,orhan ak,125328,15
178,238980,andrea palazzi,13667,andrea palazzi,225295,15
179,54149,jonathan,580,jonathan cicero moreira,165816,15
180,8689,sezer ozturk,8461,sezer ozturk,162010,15
181,240197,isaac donkor,15017,isaac opoku donkor,212445,15
182,290415,davide costa,14159,davide costa,225290,15
183,39027,tayfun pekturk,6664,tayfun pekturk,183661,15
184,265916,lucas ontivero,8271,lucas elias ontivero,221884,15
185,49121,erman bulucu,12454,erman bulucu,224744,15
186,56772,gilles binya,9534,gilles augustin binya,186718,15
187,125920,yakup zorlu,15605,yakup ramazan zorlu,223321,15
188,6949,necati ates,1598,necati ates,144163,15
189,27861,senijad ibricic,2571,senijad ibricic,185367,15
190,10504,mehmet akgun,7422,mehmet akgun,157701,15
191,204404,mahmut ozen,11375,mahmut ozen,207820,15
192,45951,ugur demirkol,14935,ugur demirkol,184351,15
193,28318,pape diakhate,2873,pape malikou diakhate,138080,15
194,200393,bilal kilic,13569,bilal kilic,223327,15
195,58919,zulkuf ozer,10136,zulkuf ozer,224737,15
196,21876,federico balzaretti,2384,federico balzaretti,113176,15
197,71002,carlos caballero,5618,carlos caballero perez,145903,15
198,144449,sinan uzun,12455,sinan uzun,224747,15
199,7394,gokhan unal,4043,gokhan unal,143732,15
200,173468,khalifa jabbie,12056,khalifa jabbie,203369,15
201,90936,murat gurbuzerol,13243,murat gurbuzerol,200884,15
202,56837,abdulhamit yildiz,14944,abdulhamit yildiz,198159,15
203,78254,umutcan yuksel,13092,umutcan yuksel,224722,15
204,35631,royston drenthe,2093,royston ricky drenthe,177752,15
205,269469,octavio,9108,octavio merlo manteca,214643,15
206,5896,david pizarro,894,david marcelo pizarro cortes,24248,15
207,238992,giacomo sciacca,13121,giacomo sciacca,225291,15
208,5908,cristiano lupatelli,3952,cristiano lupatelli,12011,15
209,110690,okan alkan,9688,okan alkan,200766,15
210,28862,michael agazzi,915,michael agazzi,123586,15
211,93085,zeki ayvaz,10140,zeki ayvaz,224896,15
212,62725,alessandro de vitis,11287,alessandro de vitis,202603,15
213,233654,francesco fedato,6215,francesco fedato,210670,15
214,51819,ugur akdemir,11718,ugur akdemir,223434,15
215,21245,filip holosko,1674,filip holosko,175673,15
216,36661,tevfik kose,10195,tevfik kose,144173,15
217,83230,bahattin kose,11997,bahattin kose,197957,15
218,26460,fernando belluschi,935,fernando daniel belluschi,143587,15
219,137611,artun akcakin,11780,artun akcakin,224729,15
220,52317,deniz naki,7684,deniz naki,189389,15
221,6911,gokhan zan,938,gokhan zan,144280,15
222,210369,ersel asliyuksek,11779,ersel asliyuksek,224728,15
223,30431,nizamettin caliskan,11056,nizamettin caliskan,170796,15
224,123256,liviu antal,8922,liviu ion antal,206274,15
225,80696,jean jacques gosso,4311,jean jacques gosso gosso,189261,15
226,54557,matias fritzler,5751,matias lionel fritzler,172113,15
227,76749,tabare viudez,1395,tabare uruguay viudez mora,189703,15
228,6968,sancak kaplan,5614,sancak kaplan,143942,15
229,282663,idris cengiz,14849,idris cengiz,223706,15
230,51596,ilhan eker,8613,ilhan eker,184667,15
231,293339,muhsin yildirim,15159,muhsin yildirim,224486,15
232,8709,sedat bayrak,8409,sedat bayrak,144202,15
233,94037,ferhat yazgan,10898,ferhat yazgan,223743,15
234,114499,ozgur ileri,13020,ozgur ileri,223047,15
235,7346,ugur boral,4812,ugur boral,143693,15
236,258669,gokhan artun,13668,gokhan artun,225303,15
237,251452,tugay kaya,13573,tugay kaya,223417,15
238,199283,umit karaal,14480,umit karaal,223649,15
239,206197,emre metin,10883,emre metin,223413,15
240,87493,diego novaretti,3712,diego martin novaretti,193510,15
241,28922,taye taiwo,2467,taye ismaila taiwo,164954,15
242,330190,kenan eryuksel,14139,kenan eryuksel,224736,15
243,5854,sebastien frey,681,sebastien frey,1289,15
244,108318,pekin kosnek,14140,pekin kosnek,224753,15
245,144788,luan scapolan,6205,lazaro luan zanini scapolan,210373,15
246,13389,didier zokora,1545,alain didier zokora deguy,45172,15
247,95967,taskin calis,6349,taskin calis,223190,15
248,36813,ibrahima sonko,7335,ibrahima sonko,117385,15
249,257791,cantug temel,14519,cantug temel,224721,15
250,12106,ludovic obraniak,924,ludovic obraniak,138066,15
251,7090,oguz daglaroglu,6453,oguz daglaroglu,143808,15
252,56528,kagan soylemezgiller,9691,kagan soylemezgiller,200827,15
253,29035,ederson,957,ederson honorato campos,156272,15
254,55839,giray kacar,1939,remzi giray kacar,125122,15
255,110697,sezer ozmen,4697,sezer ozmen,223194,15
256,52266,walter gargano,1707,walter alejandro gargano guevara,182859,15
257,22952,caglar birinci,4815,caglar birinci,143869,15
258,10118,aykut ercetin,7376,aykut ercetin,143740,15
259,135082,rogelio funes mori,3738,rogelio gabriel funes mori,198140,15
260,204143,viktor ahlmann,14506,viktor ahlmann,224312,15
261,83234,cihan ozkara,7792,cihan ozkara,197958,15
262,78236,musa yilmazer,6632,musa sinan yilmazer,179914,15
263,5495,john utaka,1183,john chukwudi utaka,52826,15
264,15765,tim janssen,5808,tim janssen,178256,15
265,102097,gudon baldvinsson,10396,gudon baldvinsson,191097,15
266,98502,liban abdi,2597,liban ali abdi,188375,15
267,22896,kasper lorentzen,4058,kasper wellemberg lorentzen,152048,15
268,89205,mark gundelach,13208,mark gundelach,190945,15
269,109012,ivan runje,10612,ivan runje,208099,15
270,252636,musefiu ashiru,15539,musefiu olasunkanmi ashiru,219408,15
271,33491,kevin foley,6434,kevin foley,139343,15
272,215180,lasse lindbjerg,15643,lasse lindbjerg,224966,15
273,24404,johan sellberg wiland,3369,johan wiland,32740,15
274,104987,hakon skogseid,9398,hakon skogseid,162397,15
275,24113,espen ruud,4056,espen ruud,148696,15
276,44722,emil ousager,13162,emil ousager,172574,15
277,15961,rurik gislason,3555,rurik gislason,173667,15
278,282227,marc wehner,15308,marc wehner,219456,15
279,20844,henrik hansen,7309,henrik hansen,52278,15
280,31821,ayoub sorensen,8811,ayoub sorensen,199788,15
281,4403,daniel jensen,4051,daniel monberg jensen,146769,15
282,43380,adigun salami,9035,adigun taofeek salami,211803,15
283,16971,mees siers,14934,mees siers,183934,15
284,37290,bojan golubovic,13068,bojan golubovic,224298,15
285,7937,abdurrahman dereli,8410,abdurrahman dereli,144205,15
286,85679,berk neziroglulari,13769,berk neziroglulari,200659,15
287,247645,ahmet sahbaz,13568,ahmet sahbaz,223310,15
288,114899,deniz oksuz,12423,deniz oksuz,223980,15
289,29411,ergun teber,9317,ergun teber,125290,15
290,121528,berkay dabanli,5395,berkay tolga dabanli,212980,15
291,16499,turgay bahadir,5642,turgay bahadir,152189,15
292,310775,aykut yakut,15932,aykut emre yakut,223318,15
293,37873,aykut akgun,6962,aykut akgun,204339,15
294,114735,bertul kocabas,14068,bertul kocabas,223027,15
295,86158,onur cenik,13370,onur cenik,211747,15
296,58829,eren gungor,7664,eren gungor,188512,15
297,47310,emre ozkan,5797,emre ozkan,177909,15
298,276689,jakob andreasen,15077,jakob andreasen,220848,15
299,265545,mikkel maigaard,15442,mikkel maigaard jakobsen,225133,15
300,52312,sebastian giovinco,796,sebastian giovinco,184431,15
301,149996,holmbert aron fridonsson,13502,holmbert aron fridonsson,220922,15
302,175739,michael ngoo,7943,michael ayodeji ngoo,204509,15
303,111837,yoann arquin,10418,yoann axel arquin,193660,15
304,131172,ross caldwell,14994,ross caldwell,210894,15
305,18828,milos krasic,1633,milos krasic,163297,15
306,4763,bo storm,7504,bo storm,172142,15
307,8840,benjamin fuchs,7524,benjamin fuchs,176431,15
308,199223,tufan ozbozkurt,6208,tufan ozbozkurt,210503,15
309,225178,oguzhan demirci,14503,oguzhan demirci,224236,15
310,85223,baris orucu,10109,baris orucu,223770,15
311,193097,jordan moore,13809,jordan moore,205141,15
312,193101,darren petrie,12685,darren petrie,205144,15
313,23410,soren christensen,11851,soren ejlersgard christensen,142273,15
314,193104,scott smith,15778,scott smith,222421,15
315,34652,jaroslaw fojut,8509,jaroslaw fojut,169509,15
316,12570,mark wilson,10968,mark wilson,109910,15
317,282553,muhammed akarslan,14551,muhammed akarslan,225325,15
318,24501,radoslaw cierzniak,11022,radoslaw cierzniak,162265,15
319,3975,domi kumbela,2905,dominick kumbela,150496,15
320,13543,gary teale,10158,gary teale,13761,15
321,62077,james marwood,11128,james marwood,186366,15
322,331074,adam brown,15420,adam brown,224355,15
323,92548,james dayton,6671,james dayton,184042,15
324,304762,barry cuddihy,15337,barry cuddihy,221359,15
325,132210,thomas reilly,13834,thomas reilly,207989,15
326,247415,mark williams,15339,mark williams,221424,15
327,10029,isaac osbourne,8471,isaac osbourne,163339,15
328,11354,jim goodwin,8334,jim goodwin,11260,15
329,7264,ibrahim toraman,1230,ibrahim toraman,143783,15
330,9616,steven thompson,4730,steven thompson,44414,15
331,65264,marc mcausland,10373,marc mcausland,189184,15
332,342083,dan wilks,15564,daniel wilks,220909,15
333,62157,melvin de leeuw,9991,melvin de leeuw,216210,15
334,77639,marian kello,5929,marian kello,189902,15
335,129074,jake jervis,7802,jake jervis,198269,15
336,34377,lorenzo davids,14210,lorenzo davids,179901,15
337,80339,graham carey,9597,graham carey,192451,15
338,49450,joe cardle,8515,joseph cardle,170218,15
339,13938,richard brittain,6385,richard brittain,49223,15
340,132213,mo yaqub,15693,mo yaqub,210960,15
341,186292,adam drury,13810,adam drury,205162,15
342,90360,filip kiss,8902,filip kiss,205073,15
343,308669,stephen miller,15963,stephen miller,225347,15
344,226935,jim fenlon,12737,jim fenlon,209314,15
345,60080,uros celcer,14880,uros celcer,224776,15
346,193891,jordan stewart,15083,jordan stewart,220992,15
347,18502,tim dreesen,9397,timothy dreesen,162229,15
348,21449,darren barr,8459,darren barr,161651,15
349,14690,mark brown,12479,mark brown,45162,15
350,71130,antonio reguero,10989,antonio reguero chapinal,146571,15
351,290349,ben frempah,14870,benedict frempah,224354,15
352,69412,paul cairney,11421,paul cairney,209969,15
353,16519,aleksey eremenko jr ,1985,alexei eremenko,150891,15
354,121403,chris chantler,12031,christopher chantler,201975,15
355,9161,sammy clingan,8438,sammy clingan,155530,15
356,221630,ahmet burgaz,10875,ahmet burgaz,223126,15
357,139440,jose nunez,4711,jose ariel nunez portelli,242330,15
358,82244,manuel pascali,9557,manuel pascali,189734,15
359,151582,ferhan hasani,5296,ferhan hasani,205138,15
360,4276,carlos tevez,33,carlos alberto tevez,143001,15
361,5817,andrea pirlo,46,andrea pirlo,7763,15
362,30333,marco motta,2496,marco motta,171097,15
363,88983,nathan eccleston,8676,nathan eccleston,190446,15
364,49144,erik friberg,8712,john erik gunnar friberg,192169,15
365,22459,jens berthel askou,10206,jens berthel,151750,15
366,128103,steven ross,14662,steven ross,211083,15
367,14963,martin bergvold,7340,martin bergvold,120339,15
368,60797,bob mchugh,10416,robert mchugh,193548,15
369,9502,paul lawson,9415,paul lawson,169452,15
370,11359,peter macdonald,10166,peter macdonald,49221,15
371,73323,jo inge berget,2553,jo inge berget,183339,15
372,22515,dennis sorensen,4746,dennis dechmann sorensen,52521,15
373,37623,thiago,9404,thiago pinto borges,164418,15
374,23201,anders due,8425,anders due hansen,151710,15
375,20853,jan kristiansen,3966,jan dalgas kristiansen,45541,15
376,22898,henrik madsen,10993,henrik nyholm madsen,151677,15
377,96006,jonas thomsen,14366,jonas thomsen,215669,15
378,178329,jean thome,15170,yobou jean noel thome,224954,15
379,78576,anders ostli,8366,anders ostli,105046,15
380,22887,anders kure,7403,anders kure vidkjaer,155525,15
381,48764,anders randrup,14206,anders degn randrup,172549,15
382,137153,callum ball,9629,callum ball,197970,15
383,200467,jean claude bozga,7194,jean claude adrimer bozga,215667,15
384,41164,thomas villadsen,15199,thomas skamby villadsen,172477,15
385,30668,derk boerrigter,4160,derk boerrigter,172855,15
386,93873,filip twardzik,10561,filip twardzik,205196,15
387,103539,fredrik berge,3679,fredrik semb berge,190438,15
388,121253,adam cummins,12021,adam cummins,200743,15
389,120967,fraser kerr,11281,fraser kerr,202354,15
390,110357,mark obrien,5992,mark obrien,194148,15
391,151334,george long,8849,george long,202199,15
392,13919,simon ramsden,11838,simon ramsden,110880,15
393,23086,gunnar nielsen,8439,gunnar nielsen,155539,15
394,55573,craig reid,11511,craig reid,213478,15
395,193078,zaine francis angol,13357,zaine sebastian francis angol,210966,15
396,235779,morgyn neill,15994,morgyn neill,222264,15
397,160346,jeffrey monakana,10529,jeffrey monakana,203097,15
398,12765,russell anderson,6427,russell anderson,138239,15
399,92816,anthony straker,12505,anthony othneal straker,162391,15
400,119569,clark robertson,12022,clark robertson,200793,15
401,193362,jamie reid,15250,jamie reid,210890,15
402,36720,jim mcalister,9318,james duncan mcalister,135056,15
403,21332,kevin mcbride,10214,kevin mcbride,155884,15
404,14579,iain davidson,10192,iain davidson,140215,15
405,199522,donervon daniels,9842,donervon joseph daniels,209493,15
406,42874,kyle letheren,9423,kyle charles letheren,170877,15
407,72798,joel tshibamba,7662,joel omari tshibamba,188319,15
408,22802,willie dyer,13152,willie dyer,163228,15
409,175737,adam morgan,10582,adam joseph morgan,205864,15
410,192498,dylan easton,15093,dylan easton,221550,15
411,23443,ondrej mazuch,1700,ondrej mazuch,181175,15
412,129533,oebele schokker,9143,oebele schokker,215612,15
413,199243,kingsley boateng,4682,kingsley boateng,219970,15
414,240670,davide lodesani,13490,davide lodesani,220144,15
415,117149,marko maletic,9859,marko maletic,210326,15
416,57303,joeri de kamps,7015,joeri de kamps,208123,15
417,15894,daniel de ridder,4866,daniel de ridder,157463,15
418,30741,sepp de roover,7534,sepp de roover,177572,15
419,125693,remy amieux,6884,remy amieux,199625,15
420,122647,damiano schet,9152,damiano schet,216221,15
421,217918,aleksandar damcevski,8311,aleksandar damcevski,224159,15
422,3395,gabor babos,5533,gabor babos,9751,15
423,4334,jelle ten rouwelaar,2829,jelle ten rouwelaar,28050,15
424,99517,rick ten voorde,7748,rick ten voorde,193095,15
425,161046,jurjan wouda,10648,jurjan wouda,209633,15
426,249118,isak ssewankambo,9070,isak ssali ssewankambo,213670,15
427,37912,adnan alisic,10215,adnan alisic,156656,15
428,187603,jordy van deelen,9826,jordy van deelen,208598,15
429,63270,ricky van haaren,6040,ricky van haaren,199538,15
430,194448,nando wormgoor,11344,nando wormgoor,205102,15
431,64490,ilias haddad,7612,ilias haddad,184075,15
432,202793,matthew steenvoorden,7997,matthew steenvoorden,207724,15
433,32727,robbert te loeke,9527,robbert te loeke,185108,15
434,228048,daan blij,11354,daan blij,205758,15
435,84916,richard stolte,11200,richard stolte,194113,15
436,59645,toni varela,8726,toni varela monteiro,193060,15
437,64439,jordy deckers,8715,jordy deckers,192359,15
438,243641,sem de wit,12383,sem emilio de wit,223204,15
439,12743,gary mcdonald,10982,gary mcdonald,139541,15
440,3287,steve banks,12507,steve banks,163569,15
441,41351,rihairo meulens,8593,rihairo meulens,183481,15
442,275882,everon pisas,10877,everon pisas,223205,15
443,7970,gill swerts,9291,gill toby todor swerts,9815,15
444,22102,paolo bianco,4007,paolo bianco,137206,15
445,5889,thomas manfredini,1546,thomas manfredini,45437,15
446,54916,jonathan rossini,3673,jonathan rossini,189729,15
447,22123,ciro polito,7433,ciro polito,158996,15
448,109154,bob schepers,6936,bob schepers,202560,15
449,27510,lee croft,8480,lee croft,164008,15
450,203914,jeroen lumu,8033,jeroen lombe lumu,209267,15
451,80708,tommy oar,3069,thomas oar,188071,15
452,21620,marnix kolder,6465,marnix kolder,148645,15
453,128905,josh mceachran,3170,joshua mark mceachran,198704,15
454,65233,teerasil dangda,6818,teerasil dangda,193827,15
455,221311,ivan sanchez,7951,ivan sanchez aguayo,204863,15
456,7989,fernando soriano,1927,fernando soriano marcos,51771,15
457,187673,jose angel jurado,10536,jose angel jurado de la torre,203733,15
458,180907,stefano magnasco,7051,stefano magnasco galindo,209660,15
459,217149,antonio marin,11659,antonio marin molina,221501,15
460,129053,james craigen,13404,james craigen,213740,15
461,120980,aaron muirhead,9924,aaron muirhead,213568,15
462,49795,dejan lekic,4420,dejan lekic,199152,15
463,54128,jordan mcmillan,13165,jordan mcmillan,173642,15
464,44514,federico piovaccari,5739,federico piovaccari,170309,15
465,95483,abraham minero,1816,abraham minero fernandez,198840,15
466,71601,txema anibarro,4300,jose maria anibarro astondoa,188410,15
467,104495,lyle taylor,10387,lyle james alfred taylor,190311,15
468,189507,jonathan black,15316,jonny black,219921,15
469,207109,dale keenan,15734,dale keenan,219922,15
470,137086,eli babalj,11226,eli babalj,199202,15
471,18091,derek boateng,2375,derek owusu boateng,100978,15
472,49069,genero zeefuik,6663,genero zeefuik,183607,15
473,55866,sebastian dubarbier,2226,sebastian dubarbier,198386,15
474,210142,charlie essome,9697,charlie took essome,201261,15
475,328687,puck postma,13620,puck postma,224216,15
476,34129,wesley verhoek,4955,wesley verhoek,172048,15
477,37414,david caiado,7560,david caiado dias,178623,15
478,182575,nick de bondt,12265,nick de bondt,216822,15
479,111191,jeffrey rijsdijk,5988,jeffrey rijsdijk,193944,15
480,170720,mawouna amevor,9992,mawouna kodo amevor,216230,15
481,271225,ruben lucas,13438,ruben lucas,216250,15
482,71085,jules reimerink,6896,jules reimerink,200255,15
483,112674,dan mori,6844,dan mori,196906,15
484,162061,nando quesada,11677,fernando quesada gallardo,221883,15
485,99508,danny verbeek,4550,danny verbeek,209674,15
486,37399,manu del moral,940,manuel del moral fernandez,146953,15
487,55444,michael zullo,8595,michael zullo,183741,15
488,85353,gevero markiet,6100,gevero markiet,203443,15
